start_time;end_time;t_duration_impuls
21.11.2025 10:59;21.11.2025 11:09;480
21.11.2025 11:16;21.11.2025 11:26;480
21.11.2025 11:33;21.11.2025 11:43;480
21.11.2025 11:46;21.11.2025 11:56;480
21.11.2025 12:02;21.11.2025 12:12;480
01.12.2025 11:52;01.12.2025 11:58;240
01.12.2025 12:03;01.12.2025 12:09;240
01.12.2025 12:15;01.12.2025 12:21;240
01.12.2025 12:24;01.12.2025 12:30;240
01.12.2025 12:35;01.12.2025 12:41;240
01.12.2025 12:46;01.12.2025 12:50;120
01.12.2025 12:54;01.12.2025 12:58;120
01.12.2025 13:03;01.12.2025 13:07;120
01.12.2025 13:15;01.12.2025 13:19;120
01.12.2025 13:23;01.12.2025 13:27;120
01.12.2025 13:30;01.12.2025 13:33;60
01.12.2025 13:36;01.12.2025 13:39;60
01.12.2025 13:42;01.12.2025 13:45;60
01.12.2025 13:48;01.12.2025 13:51;60
01.12.2025 13:54;01.12.2025 13:57;60
17.12.2025 08:43;17.12.2025 08:46;30
17.12.2025 08:52;17.12.2025 08:55;30
17.12.2025 09:04;17.12.2025 09:07;30
17.12.2025 09:10;17.12.2025 09:13;30
17.12.2025 09:18;17.12.2025 09:21;30
17.12.2025 09:31;17.12.2025 09:33;0
17.12.2025 09:36;17.12.2025 09:38;0
17.12.2025 09:42;17.12.2025 09:44;0
17.12.2025 09:48;17.12.2025 09:50;0
17.12.2025 09:54;17.12.2025 09:56;0
